category,x,log10_x,pi_exact,pi_h,li_x,abs_error,rel_error_ppm,median_time_us,std_time_us,cv_percent
A_random_irregular,34303,4.535332103321826,3691,3663.8842188887184,3691.553276238873,27.11578111128165,7346.459255291696,78.29999958630651,14.224946534679734,17.42612596578164
A_random_irregular,179604,5.254316004706469,16357,16285.55928719497,16357.807664529597,71.44071280502976,4367.592639544523,60.49999501556158,4.5360134059017785,7.323237553964315
A_random_irregular,182404,5.261034357889765,16589,16516.158046363013,16589.09291318814,72.84195363698745,4390.979181203656,64.94999979622662,12.593614805453486,18.217293134448447
A_random_irregular,9924066,6.996689643885187,660206,659133.5148264549,660206.189698474,1072.4851735450793,1624.4705039716077,65.5999974696897,2.7259614019350797,4.16018528787734
A_random_irregular,615563480,8.789272846206629,32095550,32071131.27979413,32095550.910548043,24418.720205869526,760.8132655732501,58.49999433849007,9.18754203650231,14.981723346288886
A_random_irregular,7177142796,9.855951587015081,331618355,331444565.2673744,331618355.68931305,173789.73262560368,524.0654807108118,114.5999995060265,7.633694865215695,6.56577197077009
A_random_irregular,84998096411,10.92940919950893,3523914637,3522590920.3079824,3523914637.9655986,1323716.6920175552,375.6381264514596,57.75000317953527,9.504860672027245,15.5409759512535
A_random_irregular,403380085045,11.605714453201088,15707546661,15702677388.455633,15707546661.721617,4869272.544366837,309.99573959290984,65.00000017695129,36.90999831445263,42.606485912758636
B_near_powers_of_10,9790,3.9907826918031377,1223,1208.9742109718616,1223.3105384520363,14.025789028138433,11468.347529140176,60.44999463483691,12.171355143926537,18.86739306369348
B_near_powers_of_10,10363,4.0154854981544545,1285,1270.7200657123874,1285.4728951065297,14.279934287612605,11112.789328881405,59.150006563868374,11.343756692223629,18.089229993951037
B_near_powers_of_10,99929,4.999691541402084,9623,9572.826131160627,9623.641829196617,50.17386883937252,5213.952908591137,59.09999890718609,10.352945808011103,16.526371994841956
B_near_powers_of_10,100302,5.001309592843987,9656,9605.109565397526,9656.036951387827,50.89043460247376,5270.3432686903225,113.59999916749075,3.5616152871110365,3.089802446108002
B_near_powers_of_10,999715,5.999876208431521,78606,78390.10030938593,78606.91995877106,215.89969061406737,2746.6057376544713,100.7999962894246,20.843209794957414,19.49512251352003
B_near_powers_of_10,1000394,6.0001710783256526,78656,78439.14954347607,78656.06742384433,216.85045652392728,2756.9474232598564,59.00000542169437,10.706260719136525,17.240355648771853
B_near_powers_of_10,9999902,6.999995743893223,664912,663833.7315843783,664912.3249239739,1078.2684156217147,1621.6708611390902,58.70000313734636,18.971432089313154,29.39712029274748
B_near_powers_of_10,10000108,7.000004690355077,664925,663846.4961885852,664925.1055897592,1078.5038114148192,1621.9931742900615,109.30000280495733,4.283646711963763,3.868900476304292
B_near_powers_of_10,99999781,7.999999048894043,5762197,5756220.692052091,5762197.486635882,5976.3079479094595,1037.1578666799242,58.69999586138874,5.1373584751407115,8.48378890043526
B_near_powers_of_10,100000237,8.000001029276703,5762222,5756245.426063862,5762222.24142123,5976.573936138302,1037.1995275673694,111.74999963259324,37.278372426894684,37.1946846887198
B_near_powers_of_10,999999680,8.999999861025744,50849219,50813415.75851886,50849219.5154201,35803.241481140256,704.106025328339,117.34999861801043,28.805735263157054,26.538058198972227
B_near_powers_of_10,1000000239,9.000000103796369,50849246,50813442.71719281,50849246.48993298,35803.2828071937,704.1064641783222,104.45000225445256,30.306573552831388,29.73127388378246
B_near_powers_of_10,9999999505,9.999999978502423,455055593,454828044.62316924,455055593.0890462,227548.37683075666,500.04522597035015,54.950003686826676,1.0126590598735974,1.8343611086917955
B_near_powers_of_10,10000000224,10.000000009728197,455055624,454828075.8356244,455055624.31481946,227548.1643756032,500.04472502817197,56.049997510854155,1.2967666753588964,2.300047282866599
B_near_powers_of_10,99999999505,10.999999997850242,4118066381,4116551077.0764394,4118066381.0783596,1515303.9235606194,367.9649095876532,59.04999852646142,28.797129526950382,39.56736768305563
B_near_powers_of_10,100000000100,11.000000000434294,4118054813,4116551100.5603194,4118066404.569743,1503712.4396805763,365.1511473168379,63.74999065883458,17.215033727504487,25.46414291719397
B_near_powers_of_10,999999999587,11.999999999820636,37607912018,37597469640.36511,37607950265.857895,10442377.634887695,277.6643816303797,61.50000263005495,8.584084036643176,13.359402673162748
B_near_powers_of_10,1000000000104,12.000000000045167,37607912018,37597469659.07137,37607950284.56875,10442358.928627014,277.6638842281131,68.1000019540079,32.422242180286986,39.01124116180926
C_non_decimal_structured,1048576,6.020599913279624,82137,81913.68754540719,82137.52765645571,223.3124545928149,2718.780264592265,48.10000245925039,2.1157517051155135,4.330232823615843
C_non_decimal_structured,50000123,7.6989710726991305,3001564,2998027.789989753,3001564.3650606684,3536.2100102468394,1178.1224755650185,60.55000267224386,16.25720911059479,24.52992709831441
C_non_decimal_structured,1073741824,9.030899869919436,54401475,54363596.97887336,54401475.61871649,37878.02112664282,696.2682744657718,43.249994632788,22.06486863205331,42.79454823727247
C_non_decimal_structured,2999999923,9.477121243572771,144452725,144366764.2260819,144452725.20230708,85960.77391809225,595.0789361577793,87.49998960411176,22.257035596584064,23.27046379509258
